Title,Abstract,Funding (USD),Start Year,End Year,Funder,Research Country,Funder Country,Fields of research
Quantum technology components for space communication,"The goal of QuTechSpace is to push the development of key components for space quantum communication and to facilitate standardization of the technology. To this end, we will advance three core technology components: entangled photon source (EPS), prepare and measure (P&M) source, and the post-processing software for the QKD protocol. In particular, we will increase the performance parameters such as sending rates, reduce the size, weight, and power consumption (SWaP), and perform space qualification of hardware. The technology development will be accompanied by facilitating the standardization process of space quantum communication technologies and systems through active involvement in standardization bodies. By including European entities ranging from academics over new space companies and quantum technology developers to large system integrators, the joint European ecosystem will be included in the process and together we will work towards the joint goal of reaching European sovereignty in space quantum technologies. QuTechSpace will also take into account developments in the field of space quantum communication. The technology development will be completed through testing in relevant environment, reaching TRL 6. Furthermore, the different technology components will be tested together in an end-to-end implementation of the quantum chain in the laboratory, providing crucial insights into the heart of space-based quantum-communication systems. Finally, it is important to highlight that the developed components can be used for quantum key distribution as well as for realization of the quantum internet. QuTechSpace will conclude by giving an outlook and recommendations for future developments and implementations of quantum-communication systems.",2704332,2024,2026,European Commission,Germany; France; Spain; Spain,EU,"Engineering; Electronics, Sensors and Digital Hardware; Atomic, Molecular and Optical Physics"
Integrated femtosecond laser based frequency comb and photonic microwave oscillator,"In femto-iCOMB, we develop the first integrated femtosecond laser-based frequency comb that can serve as the basis for a wide variety of optical and Radio-Frequency (RF) technologies ranging from high resolution environmental and health sensing to LIDAR and RADAR. Femto-iCOMB is based on the successful EIC-pathfinder project FEMTOCHIP, where we demonstrate an integrated high power femtosecond laser enabling extremely low jitter on chip scale. Here, we tam the free running comb from the integrated femtosecond laser with on-chip continuum generation, carrier-envelope and repetition rate locking to an optical reference to become a fully stabilized femtosecond laser frequency comb (FSLFC) with extremely high frequency stability. We use the femto-iCOMB to pursue photonic microwave oscillators for a variety of applications ranging from autonomous driving to ultra-low phase noise oscillators for advanced signal generators and RF-test and measurement equipment and demonstrate these devices in relevant industrial environments for each application. These prototype field tests will validate the TRL levels achieved for each application and together with surveys of potential customers will inform the business case to be made for each potential product line.",2704317,2024,2027,European Commission,Germany; Germany,EU,Classical Physics; Quantum Physics
Open Superior Efficient Solar Atmosphere Model Extension,"The goal is to develop a time evolving model for the entire solar atmosphere, including the chromosphere and transition region, based on a multi-fluid description. At present, models are steady, rely on a single-fluid description and include only the corona due to computational challenges. We plan to use time-evolving ion-neutral and ion-neutral-electron models. The multi-fluid approach will enable us to describe the intricate physics in the partially ionized chromosphere and quantize the transfer of momentum and energy between the atmospheric layers. The questions where the solar wind originates and solar flares and coronal mass ejections are driven have both fundamental scientific importance and substantial socio-economic impact. Indeed, the solar atmospheric model is the crucial missing link in the Sun-to-Earth model chain to predict the arrival and impact of CMEs at Earth.
What makes this goal now possible is the combination of our implicit solver with a high-order flux-reconstruction (FR) method. The implicit solver avoids the numerical instabilities that lead to strict time step limitations on explicit schemes. The high-order FR method enables high-fidelity simulations on very coarse grids even in zones of high gradients. We will start from this new development and introduce three critical innovations. First, we will combine high-order FR with physics-based r-adaptive (moving) unstructured grids redistributing grid points to regions with high gradients. Second, we will implement CPU-GPU algorithms for the new heterogeneous supercomputers advanced by HPC-Europa. Third, we will implement AI generated magnetograms to make the model respond to the time-varying photospheric magnetic field which is crucial for understanding important properties.
We will thus develop a first-in-its-kind high-order GPU-enabled 3D time-accurate solver for multi-fluid plasmas. If successful, we will have the most advanced solar atmosphere model implemented in an operational environment.",2704300,2024,2029,ERC,Belgium,EU,Astronomical Sciences
QUANTUM-ENHANCED FREE-ELECTRON SPECTROMICROSCOPY,"Ultrafast electron microscopy relies on the spatial, spectral, and temporal manipulation of free electrons with nm/meV/fs precision to map the structural dynamics as well as the vibrational and electronic ground and excited states of nanomaterials. With QUEFES I will introduce a conceptually disruptive approach to capitalize on the quantum nature of free electrons and their interactions with matter and radiation fields aiming to obtain previously inaccessible information on the atomic-scale dynamics of such materials, to reveal hidden properties of the quantum vacuum, and to control the many-body state of quantum matter.
I will address five challenges of major scientific relevance: (i) the spatiotemporal control over the density matrix of free electrons by interaction with suitably designed optical fields to overcome the current limits of space/time/energy resolution in time-resolved electron spectromicroscopy; (ii) a disruptive approach to map the nanoscale quantum fluctuations and the out-of-equilibrium state associated with optical near fields in vacuum and polaritonic excitations in nanomaterials; (iii) a Fourier-transform-inspired method to image the spatiotemporal evolution of atomic structures, charge carriers, and dynamical screening; (iv) the use of free electrons to flexibly read and write the many-body quantum state of trapped Rydberg atoms and quantum gases; and (v) the realization of all-electron pump-probe spectroscopy combined with the formation of dynamically screened multiple free-electron bound states for lossless charge transport in a semiconductor.
I will pursue these research frontiers by relying on the strong interdisciplinary theoretical background of my group at the intersection between electron-light-matter interactions and nanophotonics, introducing a change of paradigm in the use of free electrons to break the current limits of spectromicroscopy and having the potential for revolutionizing our ability to image and manipulate the nanoworld.",2703209,2024,2029,ERC,Spain,EU,"Chemical Sciences; Physical Chemistry; Atomic, Molecular and Optical Physics; Quantum Physics"
Strong light-matter coupled ultra-fast and non-linear quantum semiconductor devices,"This project will combine for the first time strong light-matter coupling in quantum-confined electronic systems with the optical and electronic non-linearities of semiconductor heterostructures: we will develop device concepts with unique ultra-fast, non-linear and quantum functionalities. The key ingredient is an unconventional use of the strong light-matter coupling regime (SCR), a fascinating concept that is recently transitioning from basic physics to quantum devices.
We will first address fundamental physics problems, then we’ll turn to device applications. A key conceptual building block is that the nature of optical non-linearities is radically modified when operating in the SCR. This has profound consequences. We will study few-photon non-linearities, in particular the ultimate case of devices that can “sense” virtual photons. This will lead us to device concepts whose behavior is enabled by vacuum-field photons, bringing us radically beyond the state of art.  
We will then move to the case of many photons. We will focus on absorption saturation, that explored only in the weak coupling regime, where it is difficult to engineer. We have discovered that in the SCR instead it becomes tailorable and previously unavailable functionalities can be envisioned. This has profound consequences: we will demonstrate semiconductor saturable absorber mirrors (SESAM) for the mid-IR spectral range, a technology that revolutionized ultra-fast lasers in the near-IR, but is missing at longer wavelengths. We will apply them to fiber and interband cascade lasers, radically advancing the potential of those sources. 
These are ground-breaking demonstrations for mid-IR science and technology. SMART-QDEV is a project rooted in fundamental physics research, able to open up new horizons and research opportunities on longer-term and visionary topics. At the same time, SMART-QDEV has a clear vision for applications.",2702110,2024,2029,ERC,France,EU,Quantum Physics
Advancing orbitronics by pushing electron orbital angular momentum to terahertz speed,"The spin angular momentum (S) of the electron has significantly extended conventional electronics, which relies on the electron charge (C), by new, so-called spintronic functionalities. Examples include magnetization switching, the transport of S and its detection, even down to femtosecond time scales. To boost the efficiency of spintronics, the so far neglected yet equally fascinating and important orbital angular momentum (L) of electrons is considered to be a powerful pathway. Orbitronic phenomena such as L-based transport, torques and magneto-optic effects have much larger magnitude than their S counterparts and may, thus, efficiently complement or even replace spintronic functionalities. Microscopically, L is completely different from S. Its dynamics involves new physics that needs to be understood, in particular on ultrafast time scales.

In the ORBITERA project, my team and I will obtain unprecedented insights into L dynamics by using femtosecond optical pulses and terahertz (THz) electric fields, which couple directly to the motion of conduction electrons at their natural frequencies and relaxation rates. We will tackle important challenges of general orbitronics and, in particular, separate L- and S-based effects despite their identical macroscopic symmetry properties, build ultrafast generators and detectors of exclusively L currents, reveal the nature of L transport (e.g., ballistic, diffusive, tunneling), measure the magnetic moments forming an L current, probe the interaction of L with the crystal lattice, temporally resolve L-S and L-C interconversion, and apply THz L torque to ultimately switch magnetic order ultrafast.

By establishing THz orbitronics, new methodology (such as ultrafast drivers of L currents and L-conductance spectroscopy at 0.1-50 THz) and applications (such as the detection of THz electric fields without relying on the weak spin-orbit coupling) will be developed that can be used by a community beyond specialized THz labs.",2700034,2025,2029,ERC,Germany,EU,Condensed Matter Physics
Brownian particles in nonequilibrium baths,"The power of thermodynamics comes at the expense of certain assumptions and idealizations. An important premise is the concept of a thermal bath which is in contact with the examined system. Typically, such baths are idealized as an infinite reservoir of heat that remains in equilibrium regardless of whether the system in contact is in equilibrium or not. Such description, however, is only valid when the bath relaxation time is much faster than typical time scales of the system. Otherwise, a driven system excites the bath out of equilibrium and will interact with nonequilibrium fluctuations. Recent experiments using colloidal particles within viscoelastic baths, whose relaxation times are comparable to colloidal timescales, have revealed surprising and only poorly understood novel behaviors which are attributed to the nonequilibrium properties of the bath. Examples include particle oscillations inside moving optical traps, a fastened hopping dynamics across potential barriers, an up to 100-fold enhanced rotational diffusion of drifting particles, but also the presence of about one-million-fold increased Magnus forces.  Here, we propose a series of novel experiments aiming to uncover the impact of a non-equilibrated bath on the behavior of externally driven colloidal particles but also to exploit such effect for applications. In those experiments we will investigate how nonequilibrium surroundings affect erasure processes of logical information or modify the design of optimal finite time protocols. In addition, we will construct an unprecedented microscopic engine which – unlike conventional heat engines – is not operated between two heat baths but which is periodically coupled to nonequilibrium baths with different relaxation times. The selection of the examples being pursued within this proposal has been chosen not only to demonstrate the manifold consequences of nonequilibrium baths but also provide possible overlaps beyond the field of soft condensed matter.",2699274,2024,2029,ERC,Germany,EU,Classical Physics
Sensing and Quantum Engineering with Magnetically Functionalized Ultracoherent Mechanical Resonators,"Strained nanomechanical resonators have record-high quality factors at room temperature and state-of-the-art thermal-limited force sensitivities. However, they are typically made of dielectric materials that do not interact strongly with neither sensing targets nor other quantum systems. I propose to functionalize ultracoherent mechanical resonators with a nanomagnet to unleash their potential both for nanoscale magnetic sensing and the creation of hybrid quantum systems. The force sensitivity of the best strained nanomechanical resonators allows sensing of single proton spins when functionalized with a nanomagnet, providing new ways to characterize quantum devices and to investigate the three-dimensional structure of complex molecules such as proteins. 

Direct coupling of mechanical resonators and a single two-level system is a challenging but attractive route to synthesis of arbitrary quantum motional states in mechanical resonators. The low frequency of strained nanomechanical resonators has made this type of interaction elusive, but recent progress makes it conceivable to coherently couple a single atom and mechanical motion by direct magnetic coupling. I will leverage optical tweezer technology to directly couple the internal quantum states of a single atom to the motion of an ultracoherent mechanical resonator and exploit this interaction to generate quantum states of motion.

By combining integrated photonics with ultracoherent nanomechanical resonators, SEQUENCE will develop unprecedently sensitive on-chip force sensors that can be used for characterization of biomolecules and quantum devices. The hybrid atom-mechanical system will realize a new interaction between single quantum systems and mechanical resonators which can be used in tests of fundamental physics, quantum sensing and quantum information processing.",2699273,2024,2029,ERC,Sweden,EU,Quantum Physics
Silicon opto-electro-mechanics for bridging the gap between photonics and microwaves,"Conversion between electrical and optical signals enabled the use of near-infrared (near-IR) photons for high data rate transmission through optical fibre networks. Likewise, coherent conversion between microwave and optical photons stands as a promising solution to transfer quantum states between remote quantum processors, thus enabling the development of large-scale quantum networks. However, the vast frequency difference between microwave (GHz) and near-IR (200 THz) optical photons hampers direct coherent conversion. This limitation could be circumvented by phonon-mediated transduction, which is a coherent two-step process, comprising electromechanical and optomechanical conversions. On-chip microwave-optical conversion mediated by GHz phonons has the potential to be extremely efficient due to the large optomechanical response of common materials, and the similar wavelength of GHz phonons and near-IR photons. Yet, it is an open challenge to achieve efficient electromechanical and optomechanical conversion simultaneously in a single integrated circuit. State-of-the-art demonstrations show that surface acoustic waves (SAWs) allow efficient electromechanical conversion, while cavity optomechanics utilize tightly confined optical and mechanical modes to yield strong optomechanical coupling. However, combining these two approaches is still considered challenging, if not impossible. The SPRING project will overcome these limitations by developing a fundamentally new optomechanical coupling approach to bridge SAW electromechanics and cavity optomechanics. The original idea is to use subwavelength nanostructuration of silicon cavities to couple tightly confined optical modes and SAWs. The SPRING strategy will be used to demonstrate coherent microwave-optical conversion of single photons and quantum state transfer between superconducting qubits, monolithically integrated in a silicon chip, opening a new path for applications in communications, sensing and computing.",2696999,2024,2028,ERC,France,EU,Engineering; Quantum Physics
"TURBULENCE, PEBBLES AND PLANETESIMALS : THE ORIGIN OF MINOR BODIES IN THE SOLAR SYSTEM","The Minor Bodies of the Solar System, Asteroids, Trojans, Comets and Kuiper Belt Objects are left over planetary building bricks called planetesimals once abundant in the solar nebula. Via collisions and accretion of large grains, aka Pebbles, they grew into planets. 
The efficiency of Planetesimals formation via a gravitational collapse of Pebble clouds and the characteristics of the forming planetesimals are determined by the size distribution and local concentration of the largest grains, both being regulated by gas turbulence. But turbulence itself is dependent on the abundance of small grains, by regulating the ionisation level and the radiative cooling process.
In this project we will develop radically new types of numerical experiments of three stages of planetesimal formation, with the goal of a self-consistent turbulence and pebble size distribution:
1. Development of tools to measure the transport, diffusion, and collisions of dust grains for arbitrary MHD or Radiation Hydro disk simulations to derive via an Coagulation Code and Machine Learning Technique a consistent particle size distribution for consistent opacities and ionisation rates to feed back into the turbulence simulation. 
2. Implementation of a tree-solver for the gravitational attraction among pebbles in self-consistent turbulence simulations to identify the properties of pebble clouds that can undergo gravitational collapse. 
3. Integration of an implicit solver for our Lagrangian Particle scheme to model the collapse of pebble clouds, while not only deriving a mass function and multiplicity, but with a model for elasticity and porosity analyse the spin, shape, and compression for the forming planetesimals, comets and asteroids.
In close collaboration with our scientific community we will calibrate our turbulence models and the planetesimal formation process on the observation of disks around young stars as well as observational and laboratory data on Minor Bodies in the Solar System.",2695390,2024,2029,ERC,Germany,EU,Space Sciences
Optoelectronic and all-optical hyperspin machines for large-scale computing,"Efficient hardware for combinatorial optimization and machine learning impacts science, engineering, and society. With new computational models, photonics tackle problems intractable with conventional computing systems. However, existing devices only scale up to thousands of spins and operate at the second timescale. 
I demonstrate photonic machines for ultrafast parallel processing of millions of spins with microsecond timescale. The strategy is minimizing a class of functions, the Ising Hamiltonian, by a new computational system that uses a high-dimensional feature space and speeds up optimization by orders of magnitude by ultrafast nonlinear optical processes. I build digital, optoelectronics, and all-optical classical and quantum devices and benchmark with real-world, large-scale problems.
By spatial modulation technology and a cheap, simple, and scalable design, light propagation is recurrently trained towards the ground state of a programmable Ising Hamiltonian. Starting from my proof-of-concept, first, I aim at the energetically efficient computing of large-scale Hamiltonians. Second, I include self-optimizing all-optical nonlinear ultrafast phase-locking processes. Third, I demonstrate record combinatorial optimization by letting the spins evolve in a high dimensional space to guarantee high success probability.
HYPERSPIM leverages the interplay of classical and quantum dynamics through the onset of entanglement and squeezing. The unprecedented scale and versatility allow the first quantum optimization tests for real-world complex computational tasks.
HYPERSPIM achieves the fastest and biggest optical computing device operating in classical and quantum regimes in an interdisciplinary route towards new photonic artificial intelligence, large-scale all-optical computing, and fundamental science.",2695390,2025,2029,ERC,Italy,EU,"Information and Computing Sciences; Atomic, Molecular and Optical Physics; Quantum Physics"
Commercial Fusion Energy with Short-Pulse High-Intensity Lasers and Nanostructured Fuel Targets,"To achieve climate targets while maintaining industrial value creation and prosperity in Europe, EU companies must be able to switch to clean and competitive energy. Marvel Fusion (“MF”), founded in Munich in 2019, pursues a new and fast-track to commercialize fusion energy. The unique approach builds on the laser-fusion concept of the National Ignition Facility (“NIF”), where energy gain was demonstrated for the first time in 2022. With diode-pumped laser systems, nanostructured targets and the use of mixed fuels, MF bypasses the main problems of traditional fusion concepts to achieve a commercially viable power plant concept. MF has performed more than 2,000 experiments over the past three years to validate its approach. With the completion of the demonstration facility in Colorado by 2027 with two proprietary laser systems developed in collaboration with SPRIN-D, MF will reach a full proof-of-technology – with infrastructure and laser of the facility already fully funded. Afterwards, MF will build a pilot powerplant by 2033 with 100 MW output, with Siemens Energy as development partner. To achieve their ambitious goals, MF has assembled a world-class team of scientists and entrepreneurs, and a network of academic and industrial partners, including collaborations with Colorado State (“CSU”), Stanford, and LMU. Furthermore, European companies like Thales and Siemens Energy assist MF in the development and industrialization of MF’s technology.",2694552,2024,2027,European Commission,Germany,EU,Engineering; Nuclear and Plasma Physics
High-Performance Computational Photochemistry and Spectroscopy,"The future of modern sustainable technologies lies in the exploitation of solar energy and in harnessing the sun’s practically infinite energy. For fundamental as well as target-oriented research in this direction, computer simulations of the ongoing photochemical processes and electronic spectroscopy of the underlying molecular materials are indispensable. While for smaller molecules, computational photochemistry can nowadays provide highly accurate results and reliable predictions, the limit in applicable molecular system size is quickly reached, and the obtained results often come with an unpredictable error requiring a posteriori validation. Indeed, we are lacking efficient and sufficiently accurate and reliable excited-state ab initio methods reaching out for organic molecular systems with more than 500 second-row atoms. 
In HIPERCOPS, we aim at closing this gap by deriving highly efficient and genuinely parallel ab initio methods for the calculation of excited electronic, electron-detached and electron-attached states for execution on modern high-performance computer architectures, whose full potential is impossible to leverage by existing standard quantum chemical program packages. To address this problem, we choose the algebraic-diagrammatic construction (ADC) family of methods, since these schemes offer clear advantages, for instance, numerical stability, easy to use, predictable accuracy. We will exploit novel genuinely parallel concepts and solution strategies for ADC schemes to enable them for HPC architectures. Our developed methods and resulting easy-to-use software will thus push the boundaries of accurate and predictable computational photochemistry to unprecedented molecular system sizes enabling and promoting research in, for example, the areas of functional optoelectronic devices and photovoltaics, molecular solar thermal energy conversion, solar-driven nanomachines, towards efficient molecular harnessing of sun light.",2693228,2024,2029,ERC,Germany,EU,"Chemical Sciences; Physical Chemistry; Theoretical and Computational Chemistry; Atomic, Molecular and Optical Physics"
Black Hole Stability,"The discovery of black holes, first as explicit solutions of Einstein equations of general relativity, and later as possible explanations of astrophysical phenomena, has revolutionized our understanding of the universe. From a mathematical perspective, a central issue is to investigate the stability of these fascinating objects. This is the focus of the present proposal containing the following work packages:

-Kerr stability conjecture. This concerns the nonlinear stability of Kerr black holes which form a 2-parameter family of explicit solutions to Einstein vacuum equations. It has become, since its discovery by R. Kerr in 1963, a central topic in general relativity, first during the golden age of black hole physics, and in the last twenty years in mathematical relativity. These efforts have led to the recent resolution, by the PI and collaborators, of the conjecture in the slowly rotating case. The goal of this work package is to tackle the general case.

-Black hole stability with matter. Breakthrough concerning the stability of Kerr for Einstein vacuum equations opens the door to other physically relevant cases in the context of Einstein equations coupled to matter. This work package aims at proving the stability of charged Kerr-Newman black holes for Einstein-Maxwell equations, Kerr back holes for massless Einstein-Vlasov equation, as well as the stability of Kerr-de Sitter black holes in the case of an arbitrarily small cosmological constant.

-Price's law and Kerr stability. An open problem concerns the optimal decay rate for perturbations of Kerr that can be achieved in the Kerr stability problem. The analogous problem for corresponding linear toy models is known as Price's law. Obtaining an optimal decay rate in the context of the Kerr stability problem would not only vastly extend Price's law, but it is also expected to have important implications on the Strong Cosmic Censorship conjecture concerning the deterministic character of Einstein equations.",2692629,2024,2029,ERC,France,EU,Mathematical Sciences; Mathematical Physics; Particle and High Energy Physics
An acoustic quantum interface for circuits and spins,"A wide variety of physical platforms are currently being explored for building quantum technologies, each with their own strengths and shortcomings. Future quantum devices will likely be hybrid in nature, combining different types of quantum systems that complement each other and provide different types of functionality. Phonons, the quanta of mechanical motion, have been widely studied as an universal mediator between various quantum objects, ranging from electromagnetic waves, to atoms and ions, to circuits and spins in the solid state. At the same time, mechanical objects in the quantum regime are interesting objects themselves. For example, their extremely high quality factors and coherence times make them promising candidates for quantum memories, and the fact that they are mechanical objects with a range of mass scales means that they can be used as sensors and for studies of fundamental physics. However, our tools to directly addressing mechanical motion in the quantum regime are limited, so interfacing them with a wider range of other quantum objects provides new tools for controlling and measuring their quantum properties, and is therefore crucial for making further use of their fascinating capabilities.Two of the most well-studied solid state quantum information processing platforms are superconducting (SC) circuits and color centers in diamond, and they are a perfect example of how different platforms can complement each other. SC circuits are able to perform fast quantum operations on a large number of qubits and can be engineered to have a wide variety of geometries and properties. However, their coherence times are generally less than 1 ms, and they lack an interface to optical photons for long-distance quantum communications and networking. The electronic spin of color centers and their nuclear spin environment can form a small quantum register with coherence times exceeding one minute that can be optically addressed. However, the properties of each color center species is mostly fixed, and connecting many qubits into a large processor in a deterministic manner remains an outstanding challenge. In our Sinergia project, we propose to demonstrate a phononic quantum interface between SC circuits and spin qubits associated with silicon-vacancy color centers in diamond. Such a hybrid system would take advantage of the strengths of each platform while compensating for their shortcomings. Specifically, the SC circuit will act as the processing unit, while the spin qubits act as the memory. They are connected through an acoustic mode that can efficiently couple to both systems while acting as a buffer that helps to maintain their desirable properties.The usual challenge in building hybrid quantum systems is bringing together diverse parts on many levels. A successful realization of a hybrid quantum platform depends not only on physical components and materials from various disciplines, which have to be combined and made compatible, but also on the corresponding experimental, theoretical, and technical knowledge. Our consortium gathers the essential expertise that will be needed to turn this proposal into reality, including materials science, mechanical engineering, experimental physics, and theory. While interdisciplinary research is thus a fundamental element of our project, the consortium is focused enough to maximize the chances of success. Widening the scope even further would drastically reduce our potential for creating impact in a highly competitive and technically challenging field.  Our project takes maximum advantage of the diverse and world-leading quantum science research that exists in Switzerland, while making crucial connections to the wider European community. If successful, our results will provide an essential building block of future quantum technologies.",2688735,2024,2028,Swiss National Science Foundation,Switzerland,Switzerland,Quantum Physics
Advanced lasers for quantum technologies,"Quantum technologies represent one of the fastest emerging high-tech markets. The growth in the production of quantum
computers goes hand in hand with the need for more affordable and reliable components of their hardware. In atomic quantum
technologies, frequency-stabilised lasers are crucial elements that are used for cooling, manipulating and detecting the qubits.
However, most of the systems currently on sale in the market are conceived for a laboratory environment rather than for an industrial
production, and the very few turn-key systems that are available are bulky, complex and expensive.
In AQLAS, we merge an innovative laser design and a recently developed technology on fiber interferometry to realize a new,
affordable and compact laser module for implementing entanglement and high-fidelity qubit read-out in atomic quantum
computers. The new laser module overcomes comparable commercial systems in terms of size (4 to 10 times smaller) and cost (2 to 5
times cheaper). In AQLAS, we start from a TRL 4 proof-of-concept that has already demonstrated in the laboratory, and enclose it in a transportable 19’’ rack unit containing all the components, which will represent out Minimum Viable Product (MVP). With the MVP, we will reach TRL 5 by demonstrating the system’s performance in the use case, i.e. a qubit processing at a quantum computer company. After this validation, we will focus on transforming the MVP into an OEM system for industrial production, thus
reaching TRL 6. During the project, we will establish a feasible business strategy that will be refined with potential customers and
investors. The funding readiness level will be elevated to 6, and we will create a strong IPR strategy with the goal of creating a new
startup for which a solid investment case is presented.
AQLAS will foster the quantum computing revolution, and contribute in establishing a sustainable quantum computer industry,
positioning Europe as a leader in a new frontier technology.",2688619,2024,2027,European Commission,Italy,EU,"Engineering; Electronics, Sensors and Digital Hardware; Quantum Physics"
"Understanding Lightning from the Lab: Initiation, Propagation, and X-ray Emissions","Despite the huge impact of lightning, its fundamental properties are still very poorly understood. With this project I want to build an infrastructure of carefully designed laboratory experiments in a novel physical regime, that will provide the conditions required to understand lightning phenomena. I will use this to answer some of the major open questions in lightning and high voltage discharge research. I will provide major scientific breakthroughs to answer the questions on 1) how lightning is initiated, 2) how lightning propagates by so-called leaders and 3) how these leaders emit energetic radiation (X-rays). The experiments will be complemented by dedicated numerical simulations for the best interpretation.  
Initiation of lightning within thunderclouds involves a complex, yet not understood interplay between electric fields, ice particles, charges and cosmic rays. I will have ice-like particles fall through varying electric fields in the novel discharge chamber and observe when discharges form and when they are strong enough to initiate lightning. 
Once initiated, lightning propagates through so-called leader discharges, but the exact mechanism has only been hypothesized. I want to understand how this is controlled by streamer discharges around it. During inception and propagation, lightning emits X-rays and other energetic radiation with energies far above expected electron energies. I will pinpoint the location and mechanism of such emissions with high reproducibility. 
The experiments will be unique in the world, due to the large discharge chamber, its highly controlled atmosphere, and its accompanying pulse source surpassing existing experiments by orders in voltage risetime and amplitude. This will expose new physical phenomena and thereby lead to great insights and uses: for the lightning community, validation of simulations and theories and understanding of lightning radio emissions, and for high voltage engineers tools to improve their devices.",2683949,2024,2029,ERC,Netherlands,EU,Nuclear and Plasma Physics
Physical modelling of stellar activity effects to discover and measure exoearths,"Exoplanet research has experienced enormous growth and is now pushing instrumental limits to find temperate terrestrial planets and precisely characterise their atmospheres. Extreme-precision radial velocity (RV) instruments (e.g. ESPRESSO), offering 10 cm/s stability, and space telescopes (e.g. JWST, Ariel), attaining relative flux uncertainties of 10 ppm are becoming a reality. But there is a shadow of concern hovering over such fantastic performances. The intrinsic variability of the stellar hosts can overwhelm the instrument error to become the dominant uncertainty. Recent results with ESPRESSO and JWST data provide vivid illustrations of the daunting effects of such limiting factor. An ambitious, ground-breaking, and comprehensive effort to model and correct out stellar activity effects shall therefore be undertaken. Our pioneering results show that the unique combination of a physical model and contemporaneous multi-technique monitoring can disentangle the effects of stellar activity from RV time-series and transit spectroscopy. The SPOTLESS project will implement this methodology by building a realistic stellar activity simulator and develop correction strategies using, e.g., machine learning algorithms and direct inversion. This is more reliable than purely data-driven methods, which often suffer from overfitting due to the lack of a physical context. Four main objectives will be pursued: 1) A physical model of the active solar surface to explain Sun-as-a-star observables, 2) Generalise to other spectral types & parameters, 3) Physically-motivated RV activity corrections at 10 cm/s, and 4) Physically-motivated transit activity corrections at 10 ppm. From available and future observations, SPOTLESS will deliver new challenging exoplanet RV discoveries and unbiased transmission spectra, taking exoplanet research to the next level by enabling the detection and characterisation of exoearths, and the eventual search for signs of biological activity.",2681697,2024,2029,ERC,Spain; Spain,EU,Astronomical Sciences
Unveiling the Physics of High-Density Relativistic Pair Plasma Jets in the Laboratory,"Gamma-ray bursts (GRBs) are among the most energetic events in the Universe. They occur at cosmological distances and are the result of the collapse of massive stars or neutron stars mergers, with emission of relativistic 'fireballs' of electron-positron pairs. From astrophysical observations, a wealth of information has been gleaned about the mechanism that leads to such strong emission of radiation, with leading models predicting that this is due to the disruption of the beam as it blasts through the surrounding plasma. This produces shocks and hydromagnetic turbulence that generate synchrotron emission, potentially accelerating to ultra-high energies the protons which are observed
on Earth as cosmic rays. However, there is no direct evidence of the generation of either magnetic fields or cosmic rays by GRBs. Estimates are often based on crude energy equipartition arguments or idealized numerical simulations that struggle to capture the extreme plasma conditions. We propose to address this lacuna by conducting laboratory experiments at CERN to mimic the jet propagation through its surrounding plasma. Such experiments will enable in situ measurement of the plasma properties, with exquisite details that cannot be achieved elsewhere. The experiments also complement numerical simulations by providing long measurement times extending into the non-linear regime where numerical simulations are not possible today. The proposed experiments will study fundamental physics processes, unveil the microphysics of GRBs, and address the following, yet answered, key questions:
1) What mechanisms drive the energetic beams unstable and their long-term evolution?
2) What is the role of turbulence in the acceleration of particles to the highest energies?
3) What is the interplay between magnetic fields and particles and how does this affect the observed
electromagnetic emission?
We will provide a new window in high energy astrophysics using novel Earth-based laboratory experiments.",2676882,2024,2029,UK Research and Innovation,United Kingdom,United Kingdom,Astronomical Sciences; Nuclear and Plasma Physics
Astroparticle Physics with a Trapped Electron,"No one knows what 84% of the matter in the universe is, and the goal of APTE is to
find out. APTE will investigate two leading types of dark matter: axions and millicharged
particles. Axions not only resolve a longstanding puzzle in particle physics, but if their
mass is 0.001-1 meV they are an excellent dark matter candidate. Millicharged particles
arise in some theories beyond the Standard Model and have recently been suggested as a com-
ponent of dark matter that could explain the anomalous cooling of hydrogen in the early universe.

APTE will use an electron in a cryogenic Penning trap in an entirely new application: a
quantum sensor for astroparticle physics. The radial modes of the trapped electron will be
monitored for transitions caused by collisions with millicharged dark matter or the absorption
of single microwave photons from axion decays. Changes in radial quantum state will be
imprinted onto the trapped electron's axial frequency using a strong magnetic inhomogeneity,
the same principle as used to measure the electron magnetic moment. Drawing on my
experience in BASE, one of the world's most sensitive cryogenic Penning traps, I will pioneer
the use of advanced phase sensitive measurement protocols of my own invention. These will
be used to monitor the electron's axial frequency for phase jumps which occur when the radial
mode changes. With this electron single photon counter we will be able to overcome the Stan-
dard Quantum Limit which severely degrades our ability to investigate axion masses > 0.04 meV.

APTE will perform a first search for dark matter axions with masses around 0.128 meV
and millicharged dark matter particles with masses up to at least 1 GeV and charges 10^-1 to 10^-7 e. Both measurements probe important theories in a regime where there is currently no
data and few proposed experiments. This ground-breaking project will lay the foundations for
a future program of axion searches, as well as other applications in fundamental physics.",2673994,2024,2029,UK Research and Innovation,United Kingdom,United Kingdom,Nuclear and Plasma Physics; Particle and High Energy Physics; Quantum Physics
